lat,lon
-33.625, -53.375
-33.375, -53.375
-33.375, -53.125
-33.125, -53.125
-33.125, -52.875
-32.875, -52.625
-32.625, -53.125
-32.375, -53.625
-32.375, -53.375
-32.375, -53.125
-32.375, -52.875
-32.375, -52.625
-32.375, -52.375
-32.125, -53.625
-32.125, -53.375
-32.125, -53.125
-32.125, -52.875
-32.125, -52.625
-32.125, -52.375
-31.875, -53.625
-31.875, -53.375
-31.875, -53.125
-31.875, -52.875
-31.875, -52.625
-31.875, -52.375
-31.625, -53.875
-31.625, -53.625
-31.625, -53.375
-31.625, -53.125
-31.625, -52.875
-31.625, -52.625
-31.625, -52.375
-31.625, -52.125
-31.625, -51.375
-31.375, -54.875
-31.375, -54.625
-31.375, -54.375
-31.375, -54.125
-31.375, -53.875
-31.375, -53.625
-31.375, -53.375
-31.375, -53.125
-31.375, -52.875
-31.375, -52.625
-31.375, -52.375
-31.375, -52.125
-31.125, -55.125
-31.125, -54.875
-31.125, -54.625
-31.125, -54.375
-31.125, -54.125
-31.125, -53.875
-31.125, -53.625
-31.125, -53.375
-31.125, -53.125
-31.125, -52.875
-31.125, -52.625
-31.125, -52.375
-31.125, -52.125
-31.125, -51.875
-31.125, -51.625
-31.125, -50.875
-30.875, -55.375
-30.875, -55.125
-30.875, -54.875
-30.875, -54.625
-30.875, -54.375
-30.875, -54.125
-30.875, -53.875
-30.875, -53.625
-30.875, -53.375
-30.875, -53.125
-30.875, -52.875
-30.875, -52.625
-30.875, -52.375
-30.875, -52.125
-30.875, -51.875
-30.875, -51.625
-30.875, -50.625
-30.625, -56.125
-30.625, -55.625
-30.625, -55.375
-30.625, -55.125
-30.625, -54.875
-30.625, -54.625
-30.625, -54.375
-30.625, -54.125
-30.625, -53.875
-30.625, -53.625
-30.625, -53.375
-30.625, -53.125
-30.625, -52.875
-30.625, -52.625
-30.625, -52.375
-30.625, -52.125
-30.625, -51.875
-30.625, -51.625
-30.625, -51.375
-30.625, -50.625
-30.375, -56.375
-30.375, -56.125
-30.375, -55.875
-30.375, -55.625
-30.375, -55.375
-30.375, -55.125
-30.375, -54.875
-30.375, -54.625
-30.375, -54.375
-30.375, -54.125
-30.375, -53.875
-30.375, -53.625
-30.375, -53.375
-30.375, -53.125
-30.375, -52.875
-30.375, -52.625
-30.375, -52.375
-30.375, -52.125
-30.375, -51.875
-30.375, -51.625
-30.375, -51.375
-30.375, -50.375
-30.125, -57.125
-30.125, -56.875
-30.125, -56.625
-30.125, -56.375
-30.125, -56.125
-30.125, -55.875
-30.125, -55.625
-30.125, -55.375
-30.125, -55.125
-30.125, -54.875
-30.125, -54.625
-30.125, -54.375
-30.125, -54.125
-30.125, -53.875
-30.125, -53.625
-30.125, -53.375
-30.125, -53.125
-30.125, -52.875
-30.125, -52.625
-30.125, -52.375
-30.125, -52.125
-30.125, -51.875
-30.125, -51.625
-30.125, -51.375
-30.125, -51.125
-30.125, -50.875
-30.125, -50.625
-30.125, -50.375
-29.875, -57.125
-29.875, -56.875
-29.875, -56.375
-29.875, -56.125
-29.875, -55.875
-29.875, -55.625
-29.875, -55.375
-29.875, -55.125
-29.875, -54.875
-29.875, -54.625
-29.875, -54.375
-29.875, -54.125
-29.875, -53.875
-29.875, -53.625
-29.875, -53.375
-29.875, -53.125
-29.875, -52.875
-29.875, -52.625
-29.875, -52.375
-29.875, -52.125
-29.875, -51.875
-29.875, -51.625
-29.875, -51.375
-29.875, -51.125
-29.875, -50.875
-29.875, -50.625
-29.875, -50.375
-29.875, -50.125
-29.625, -56.125
-29.625, -55.875
-29.625, -55.625
-29.625, -55.375
